BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Location
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (-87.79733 41.92115)
Bezazian,1226 W. Ainslie St.,Chicago,60640,0,5133,6393,7186,7870,5395,4471,3789,3907,3799,3932,3332,55207,POINT (-87.66009 41.97146)
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,1830,2462,3014,3406,3464,4946,3809,4064,4172,4579,4319,3511,43576,POINT (-87.61425 41.75111)
West Loop,122 N. Aberdeen St.,Chicago,60607,2514,3085,4329,4306,4206,4264,4639,4826,4645,5246,5030,4047,51137,POINT (-87.65441 41.88377)
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,3528,4252,5458,3774,3080,4827,5100,5297,5014,4880,4712,4723,54645,POINT (-87.81334 41.97801)
South Chicago,9055 S. Houston Ave.,Chicago,60617,768,3114,3980,3881,3822,3374,4843,4842,4285,3607,3146,3328,42990,POINT (-87.54984 41.73037)
Douglass,3353 W. 13th St.,Chicago,60623,435,1100,1456,1586,2803,0,4316,3921,3733,2738,1626,2256,25970,POINT (-87.70967 41.86454)
Rogers Park,6907 N. Clark St.,Chicago,60626,4179,7092,8908,8827,8728,8624,8696,8916,9226,9380,9355,7431,99362,POINT (-87.67341 42.00669)
Hegewisch,3048 E. 130th St.,Chicago,60633,1165,1194,1552,1612,1411,1841,1858,796,162,1156,1228,934,14909,POINT (-87.54893 41.65918)
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,2594,2929,4083,3782,3370,5176,6041,4817,4982,3982,4529,3924,50209,POINT (-87.78009 41.79282)
Toman,2708 S. Pulaski Rd.,Chicago,60623,1371,1163,1669,2198,2533,2390,2546,2364,1667,3009,2793,1942,25645,POINT (-87.72449 41.84206)
Edgewater,6000 N. Broadway St.,Chicago,60660,7563,3509,8040,9664,8411,8531,9696,9588,8944,9539,8103,6262,97850,POINT (-87.66032 41.9912)
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,837,977,1447,1657,1838,1769,1437,1760,2375,2391,2057,2125,20670,POINT (-87.60041 41.76229)
West Belmont,3104 N. Narragansett Ave.,Chicago,60634,1954,2396,3035,3054,2954,5544,3485,3898,3253,5245,6103,2923,43844,POINT (-87.78589 41.93685)
Clearing,6423 W. 63rd Pl.,Chicago,60638,1505,918,1290,1290,730,575,870,1605,1440,1156,2425,1770,15574,POINT (-87.7819 41.77645)
Chicago Bee,3647 S. State St.,Chicago,60609,512,900,1002,1086,1211,819,1074,993,1162,985,841,977,11562,POINT (-87.62649 41.82815)
Humboldt Park,1605 N. Troy St.,Chicago,60647,2527,2725,3753,3867,4047,7297,4741,4958,3705,5676,3262,1665,48223,POINT (-87.70568 41.91042)
Harold Washtington Library Center,400 S. State St.,Chicago,60605,39287,50081,64622,64754,60950,63316,71029,65825,61361,67126,50053,28348,686752,POINT (-87.62763 41.87633)
West Lawn,4020 W. 63rd St.,Chicago,60629,1030,1345,2505,2815,2744,3798,4384,4067,3307,3516,3431,3531,36473,POINT (-87.72384 41.77866)
Coleman,731 E. 63rd St.,Chicago,60637,3059,1540,4054,4297,4225,4162,4816,5462,2750,3187,2506,2270,42328,POINT (-87.60717 41.7804)
Walker,11071 S. Hoyne Ave.,Chicago,60643,521,670,1255,613,964,948,1166,1146,1016,1157,996,1079,11531,POINT (-87.67413 41.69221)
Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629,2444,2794,3927,3810,3833,4635,4397,4968,4236,4369,4241,3423,47077,POINT (-87.70322 41.78197)
"Daley, Richard M.",733 N. Kedzie Ave.,Chicago,60612,6556,4072,3827,5137,5130,4408,4118,3433,3749,3686,2541,3656,50313,POINT (-87.70654 41.8949)
Independence,4024 N. Elston Ave.,Chicago,60618,2412,2684,3171,3146,3002,5240,3752,3945,2903,3539,3887,2960,40641,POINT (-87.72009 41.95432)
Pullman,11001 S. Indiana Ave.,Chicago,60628,1558,1705,2575,2990,3001,3175,3237,2752,3230,3605,3527,2684,34039,POINT (-87.61829 41.69437)
Scottsdale,4101 W. 79th St.,Chicago,60652,1856,2867,3325,3356,3420,3392,3299,3403,3081,2995,3261,2832,37087,POINT (-87.7246 41.7494)
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,5058,5714,7070,6613,6087,6615,8904,7810,6659,8755,7259,3437,79981,POINT (-87.69782 41.98473)
Lincoln Belmont,1659 W. Melrose St.,Chicago,60657,2888,843,0,1247,5464,5435,6435,7667,7074,7100,6929,6161,57243,POINT (-87.67092 41.94056)
Brainerd,1350 W. 89th St.,Chicago,60620,617,536,995,1088,1354,1147,1182,1215,1098,973,1301,836,12342,POINT (-87.65774 41.73232)
Austin,5615 W. Race Ave.,Chicago,60644,2991,2312,3410,3486,1636,3883,5135,4145,3804,3918,3492,2982,41194,POINT (-87.76597 41.88929)
Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620,2094,2577,3050,3280,3326,3379,3684,3675,3628,3621,3095,3206,38615,POINT (-87.65391 41.75738)
Kelly,6151 S. Normal Blvd.,Chicago,60621,497,1461,2781,2587,2666,2834,2730,3343,2686,2867,2381,2093,28926,POINT (-87.63753 41.782)
Chinatown,2100 S. Wentworth Ave.,Chicago,60616,2963,6955,11013,11999,13147,15962,16974,15109,13290,14005,11877,11473,144767,POINT (-87.63181 41.85419)
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655,1400,1478,1936,1857,1986,2399,2774,2313,1986,2448,1787,1715,24079,POINT (-87.70087 41.69299)
West Town,1625 W. Chicago Ave.,Chicago,60622,3402,4726,5947,5530,4300,6246,6644,6767,5888,6537,6620,5791,68398,POINT (-87.66849 41.8956)
North Austin,5724 W. North Ave.,Chicago,60639,1072,1337,1895,1979,1598,1587,2002,1939,1627,1770,1745,1435,19986,POINT (-87.76886 41.90933)
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,4915,6552,8399,9454,9152,12512,10660,10414,8960,11785,17248,8067,118118,POINT (-87.65805 41.92529)
Little Village,2311 S. Kedzie Ave.,Chicago,60623,1270,1348,1896,1877,2016,2269,2449,2171,2043,2080,1928,617,21964,POINT (-87.70518 41.84951)
"Daley, Richard J.",3400 S. Halsted St.,Chicago,60608,2480,0,0,0,957,2086,2105,2049,1873,2150,2112,2154,17966,POINT (-87.64615 41.83257)
Altgeld,955 E. 131st St.,Chicago,60827,339,822,3378,3231,3217,3466,4771,4217,4146,4613,3542,3204,38946,POINT (-87.59861 41.65728)
Roden,6083 N. Northwest Hwy.,Chicago,60631,2759,3073,4268,4712,3858,8939,4562,4582,3794,8002,10121,3840,62510,POINT (-87.79832 41.99194)
Uptown,929 W. Buena Ave.,Chicago,60613,4948,5325,6378,4801,0,1999,5785,6428,6106,6519,7091,5913,61293,POINT (-87.65422 41.95843)
Water Works,163 E. Pearson Street,Chicago,60611,0,2774,4298,4501,4646,4801,5112,5035,4052,4194,3860,4321,47594,POINT (-87.62308 41.89759)
Jeffery Manor,2401 E. 100th St.,Chicago,60617,2002,863,1226,1284,1448,1680,1790,1661,1171,1835,1724,1103,17787,POINT (-87.56556 41.71352)
Edgebrook,5331 W. Devon Ave.,Chicago,60646,3693,4302,5447,5241,5187,6707,6437,6411,5317,5992,6298,5184,66216,POINT (-87.76197 41.99727)
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,2656,3140,4490,4787,3951,4418,4460,4287,3526,3663,3926,2864,46168,POINT (-87.76179 41.96762)
McKinley Park,1915 W. 35th St.,Chicago,60609,368,3624,4731,3942,4584,5238,5037,5458,4786,5641,4726,3761,51896,POINT (-87.67344 41.83041)
Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,3655,4516,3918,6239,5610,5815,6183,5996,5305,5491,4986,3678,61392,POINT (-87.64312 41.72056)
Albany Park,3401 W. Foster Ave.,Chicago,60625,3419,6208,8004,6925,7068,6394,7005,6848,7061,6955,6719,6469,79075,POINT (-87.71357 41.9757)
Lozano,1805 S. Loomis St.,Chicago,60608,3634,2311,3021,3780,3664,2693,3995,4508,4097,4777,5728,3121,45329,POINT (-87.66129 41.85762)
Gage Park,2807 W. 55th St.,Chicago,60632,0,911,1586,1875,1633,1570,1470,1678,1131,2032,1620,1527,17033,POINT (-87.69418 41.79369)
West Pullman,830 W. 119th St.,Chicago,60643,1216,944,1175,1734,1803,2282,1807,2090,2023,2377,6051,235,23737,POINT (-87.64311 41.6778)
Sherman Park,5440 S. Racine Ave.,Chicago,60609,1420,1409,1846,2017,1786,1508,1434,1740,1263,1227,994,1009,17653,POINT (-87.65489 41.79485)
West Englewood,1745 W. 63rd St.,Chicago,60636,2038,2281,2754,2423,2872,3403,2924,4282,2708,3534,3277,2499,34995,POINT (-87.66852 41.77939)
North Pulaski,4300 W. North Ave.,Chicago,60639,1669,2052,2283,2413,2211,2444,2677,2876,2443,2487,2370,2419,28344,POINT (-87.73404 41.91003)
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651,608,808,1207,1140,1119,1591,1181,1474,1622,1513,2024,1087,15374,POINT (-87.74769 41.8953)
Manning,6 S. Hoyne Ave.,Chicago,60612,0,2701,3653,3924,4531,3858,3653,3680,2974,3861,3523,2952,39310,POINT (-87.67908 41.88102)
Beverly,1962 W. 95th St.,Chicago,60643,1709,1943,1403,99,0,1489,2773,2871,2592,2685,2490,2179,22233,POINT (-87.6723 41.72114)
Northtown,6800 N. Western Ave.,Chicago,60645,5957,6137,8619,8090,8461,6614,4807,6426,5969,8492,9581,5326,84479,POINT (-87.69009 42.00516)
Canaryville,642 W. 43rd St.,Chicago,60609,0,1427,1854,1894,33,0,736,1184,1038,957,887,950,10960,POINT (-87.64257 41.81624)
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,3491,5724,7464,7252,7130,7061,6992,7065,7194,6380,5979,4894,76626,POINT (-87.5902 41.80763)
Little Italy,1336 W. Taylor St.,Chicago,60607,2801,5665,8196,7564,7828,8215,7872,8699,8736,8458,7284,5633,86951,POINT (-87.66059 41.86937)
Hall,4801 S. Michigan Ave.,Chicago,60615,0,2213,2716,2923,2996,2850,3200,3488,3003,3157,2555,2053,31154,POINT (-87.6228 41.8073)
Logan Square,3030 W. Fullerton Ave.,Chicago,60647,7285,8572,10957,10380,9038,9187,10600,11057,9856,10579,10006,9037,116554,POINT (-87.70341 41.92476)
South Shore,2505 E. 73rd St.,Chicago,60649,1066,1178,1575,1544,1801,1576,2059,2264,1864,1936,1812,1508,20183,POINT (-87.56397 41.76264)
King,3436 S. King Dr.,Chicago,60616,1209,1080,1639,1607,1652,1959,1793,1656,1532,1492,1404,1041,18064,POINT (-87.61732 41.83214)
Mayfair,4400 W. Lawrence Ave.,Chicago,60630,1302,1552,1980,1826,1446,1715,1594,1623,1446,1441,1508,1388,18821,POINT (-87.7381 41.96812)
Back of the Yards,2111 W. 47th St.,Chicago,60609,1440,1689,2689,2942,2729,2933,2717,2943,2816,3508,2576,2276,31258,POINT (-87.67763 41.80849)
Avalon,8148 S. Stony Island Ave.,Chicago,60617,2985,4007,4777,5025,4666,4188,5093,4747,3630,3639,3029,1950,47736,POINT (-87.58584 41.74633)
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634,3101,3642,4957,4893,4326,5147,5029,5149,4840,5656,5303,3944,55987,POINT (-87.77944 41.95301)
Merlo,644 W. Belmont Ave.,Chicago,60657,4605,7379,10016,9522,9188,15221,8547,8701,7799,10197,12420,6551,110146,POINT (-87.64627 41.94004)
Archer Heights,5055 S. Archer Ave.,Chicago,60632,2949,2360,3250,3169,2896,4950,3198,3390,3329,4599,5054,2703,41847,POINT (-87.72663 41.8007)
Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,13873,15111,19899,18966,17119,14966,18748,19294,18776,21154,20568,16373,214847,POINT (-87.68467 41.96267)
Legler Regional,115 S. Pulaski Rd.,Chicago,60624,477,2056,3315,2875,3574,3276,3601,3442,3310,3346,3196,2539,35007,POINT (-87.72561 41.87932)
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,2301,3072,3987,3828,3466,5573,4058,4024,3335,4621,5254,3156,46675,POINT (-87.7547 41.93873)
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,1417,1164,1631,1874,1817,3609,1048,1401,2117,5210,6950,1410,29648,POINT (-87.70209 41.73837)
Vodak-East Side,3710 E. 106th St.,Chicago,60617,2007,2718,3749,4378,3420,3343,4703,4355,3761,4074,3700,2844,43052,POINT (-87.53351 41.70274)
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,5015,5954,7115,7525,6111,11320,8472,8434,8088,7620,7122,3317,86093,POINT (-87.68036 41.91225)
Near North,310 W. Division St.,Chicago,60610,4771,5815,4707,0,0,0,0,7086,10148,12716,9813,5974,61030,POINT (-87.63663 41.90379)
Dunning,7455 W. Cornelia Ave.,Chicago,60634,4240,5603,6706,5857,6394,5177,7638,6869,6169,6495,5513,5443,72104,POINT (-87.81368 41.94307)
Brighton Park,4314 S. Archer Ave.,Chicago,60632,1250,1727,2959,3207,2356,3090,2871,3264,3017,3270,3264,2681,32956,POINT (-87.70303 41.81483)
